compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Pc Factory,"Pavilion Gamer Intel i5-9300H NVIDIA GTX 1050 3GB 15.6"" FHD 8GB + 16GB Optane 256GB SSD Windows 10 Acid Green 15-dk0015la",HP,"Intel® Core™ i5-9300H, hasta 4,1GHz (8MB caché)",8.0,NVIDIA® GeForce® GTX 1050 3GB (GDDR5 dedicada),15.6,256.0,Windows 10 Home,849990,824490,https://www.pcfactory.cl//producto/34789-hp-notebook-pavilion-gamer-intel-i5-9300h-nvidia-gtx-1050-3gb-15-6-fhd-8gb--16gb-optane-256gb-ssd-windows-10-acid-green-15-dk0015la
Pc Factory,"2en1 14"" FHD Intel i5-1035G1 8GB +16GB Optane 256GB SSD Windows 10 Touch Natural Silver 14-dw0002la",HP,"Intel® Core™ i5-1035G1, 1,0GHz hasta 3,6GHz (6MB caché L3)",8.0,Intel® UHD,14.0,256.0,Windows 10 Home (64bit),849990,824490,https://www.pcfactory.cl//producto/37288-hp-notebook-2en1-14-fhd-intel-i5-1035g1-8gb-16gb-optane-256gb-ssd-windows-10-touch-natural-silver-14-dw0002la
Pc Factory,"ProBook 440 G6 Core i5-8265U 4GB 1TB 14"" HD Windows 10 Pro",HP,"Intel® Core™ i5-8265U, 1,6GHz hasta 3,9GHz (6MB caché)",4.0,Intel® UHD 620,14.0,1000.0,Windows 10 Pro (64Bits),869990,843890,https://www.pcfactory.cl//producto/35823-hp-notebook-probook-440-g6-core-i5-8265u-4gb-1tb-14-hd-windows-10-pro
Pc Factory,"Pavilion 2 en 1 14"" FHD Intel i7-1065G7 8GB 512GB SSD Natural Silver 14-dw0005la",HP,"Intel® Core™ i7-1065G7 1,3 GHz, hasta 3,9 GHz (8MB caché)",8.0,Intel® Iris® Plus,14.0,512.0,Windows 10 Home (64 bits),899990,872990,https://www.pcfactory.cl//producto/37291-hp-notebook-pavilion-2-en-1-14-fhd-intel-i7-1065g7-8gb-512gb-ssd-natural-silver-14-dw0005la
Pc Factory,"Macbook Air 13.3""  Intel Core i5 8GB 128GB SSD Silver MQD32CI/A",Apple,"Intel Core i5  de 1,8 GHz hasta 2,9 GHz.",8.0,Intel HD Graphics 6000,13.3,128.0,macOS High Sierra,899990,872990,https://www.pcfactory.cl//producto/37339-apple-macbook-air-13-3--intel-core-i5-8gb-128gb-ssd-silver-mqd32ci-a
Pc Factory,"Gamer Dell G3 Intel i5 10300H NVIDIA GTX 1650Ti 4GB 15.6"" FHD 8GB 1TB + 256GB SSD Windows 10 Black",Dell,"Intel® Core™ i5 10300H, 2,50GHz hasta 4,50GHz (8MB cache)",8.0,NVIDIA® GeForce® GTX 1650Ti (4GB GDDR6),15.6,1000.0,Windows 10 Home (64 bit),899990,872990,https://www.pcfactory.cl//producto/37563-dell-notebook-gamer-dell-g3-intel-i5-10300h-nvidia-gtx-1650ti-4gb-15-6-fhd-8gb-1tb--256gb-ssd-windows-10-black
Pc Factory,"Ultraliviano Matebook 13"" FHD Intel i5-10210U 8GB 512GB SSD Windows 10 + Microsoft 365",Huawei,"Intel® Core™ i5-10210 U, 1,60 GHz hasta 4,20 GHz (6M Caché)",8.0,Intel® UHD Graphics 620,13.0,512.0,Windows 10 Home (64bit),899990,872990,https://www.pcfactory.cl//producto/37177-huawei-notebook-ultraliviano-matebook-13-fhd-intel-i5-10210u-8gb-512gb-ssd-windows-10--microsoft-365
Pc Factory,"Ultraliviano Inspiron 13.3"" FHD Intel i7-10510U 8GB 512GB SSD NVIDIA MX250 2GB Windows 10",Dell,"Intel® Core™ i7-10510U, 1,80GHz hasta 4,90GHz (8MB cache)",8.0,NVIDIA® GeForce® MX250 (2GB GDDR5),13.3,512.0,Windows 10 Home (64 bit),949990,921490,https://www.pcfactory.cl//producto/36867-dell-notebook-ultraliviano-inspiron-13-3-fhd-intel-i7-10510u-8gb-512gb-ssd-nvidia-mx250-2gb-windows-10
Pc Factory,"Pavilion Gamer Intel i5-10300H NVIDIA GTX 1650 4GB 16.1"" FHD 8GB + 32GB Optane 512GB SSD Windows 10 Shadow Black 16-a0001la",HP,"Intel® Core™ i5-10300H 2,5 GHz hasta 4,5 GHz (8MB caché)",8.0,NVIDIA® GeForce® GTX 1650 4GB (GDDR6 dedicada),16.1,512.0,Windows 10 Home 64,949990,921490,https://www.pcfactory.cl//producto/38802-hp-notebook-pavilion-gamer-intel-i5-10300h-nvidia-gtx-1650-4gb-16-1-fhd-8gb--32gb-optane-512gb-ssd-windows-10-shadow-black-16-a0001la
Pc Factory,"Dell Inspiron 15.6"" FHD Intel i7-1065G7 8GB 512GB SSD NVIDIA MX230 4GB Windows 10",Dell,"Intel® Core™ i7 1065-G7, hasta 3.90GHz (6MB cache)",8.0,Nvidia® MX 230 (4GB GDDR5),15.6,512.0,Windows 10 Home (64 bit),949990,921490,https://www.pcfactory.cl//producto/35751-dell-notebook-dell-inspiron-15-6-fhd-intel-i7-1065g7-8gb-512gb-ssd-nvidia-mx230-4gb-windows-10
Pc Factory,"Ultraliviano Zenbook UX433FN 14"" FHD Intel i5-8265U 8GB  512GB SSD NVIDIA MX150 2GB Windows 10 Silver UX433FN-A5247T",Asus,"Intel® Core™ i5-8265U, 1.8 GHz hasta 4.6 GHz (8M Caché)",8.0,NVIDIA GeForce MX150,14.0,512.0,Windows 10 (64bit),969990,940890,https://www.pcfactory.cl//producto/34877-asus-notebook-ultraliviano-zenbook-ux433fn-14-fhd-intel-i5-8265u-8gb-512gb-ssd-nvidia-mx150-2gb-windows-10-silver-ux433fn-a5247t
Pc Factory,"Vivobook S 15.6"" FHD Intel i7-10510U 8GB +32GB Intel Optane 512GB SSD NVIDIA MX250 2GB Windows 10 Silver Metal S532FL-BQ332T",Asus,"Intel® Core™ i7-10510U, 1.8GHz hasta 4.9GHz (8M Caché)",8.0,NVIDIA GeForce MX250 2GB GDDR5 2GB,15.6,512.0,Windows 10 (64bit),999990,969990,https://www.pcfactory.cl//producto/36674-asus-notebook-vivobook-s-15-6-fhd-intel-i7-10510u-8gb-32gb-intel-optane-512gb-ssd-nvidia-mx250-2gb-windows-10-silver-metal-s532fl-bq332t
Pc Factory,"Pavilion Gamer Intel i7-10750H NVIDIA GTX 1650 4GB 15.6"" FHD  8GB + 16GB Optane 256GB SSD Windows 10 WiFi 6 Acid Green 15-dk1022la",HP,"Intel® Core™ i7-10750H, 2,6GHz hasta 5GHz (12MB caché)",8.0,NVIDIA® GeForce® GTX 1650 (GDDR6 4GB dedicada),15.6,256.0,Windows 10 Home (64bits),1099990,1066990,https://www.pcfactory.cl//producto/37514-hp-notebook-pavilion-gamer-intel-i7-10750h-nvidia-gtx-1650-4gb-15-6-fhd-8gb--16gb-optane-256gb-ssd-windows-10-wifi-6-acid-green-15-dk1022la
Pc Factory,"Nuevo MacBook Air 13"" Intel Core i3 1,1 GHz 256GB SSD Space Gray  MWTJ2CI/A",Apple,"Intel® Core™ i3 1,1 GHz hasta 3,2 GHz con Turbo Boost (4 MB de caché de nivel 3)",8.0,Gráfica: Intel Iris Plus Graphics,13.3,512.0,macOS Catalina,1149990,1115490,https://www.pcfactory.cl//producto/37306-apple-nuevo-macbook-air-13-intel-core-i3-1-1-ghz-256gb-ssd-space-gray-mwtj2ci-a
Pc Factory,"Nuevo MacBook Air 13"" Intel Core i3 1,1 GHz 256GB SSD Gold MWTL2CI/A",Apple,"Intel® Core™ i3 1,1 GHz hasta 3,2 GHz con Turbo Boost (4 MB de caché de nivel 3)",8.0,Gráfica: Intel Iris Plus Graphics,13.3,512.0,macOS Catalina,1149990,1115490,https://www.pcfactory.cl//producto/37307-apple-nuevo-macbook-air-13-intel-core-i3-1-1-ghz-256gb-ssd-gold-mwtl2ci-a
Pc Factory,"Gamer Legion 5i Intel i5-10300H NVIDIA GTX 1660Ti 6GB 15.6"" FHD 144Hz 8GB 1TB + 128GB SSD Windows 10  Phantom Black",Lenovo,"Intel® Core™ i5-10300H, 2,50GHz hasta 4,50GHz (4M Cache)",8.0,NVIDIA GTX 1660Ti (6GB G6192B),15.6,1000.0,Windows 10 Home,1149990,1115490,https://www.pcfactory.cl//producto/37230-lenovo-notebook-gamer-legion-5i-intel-i5-10300h-nvidia-gtx-1660ti-6gb-15-6-fhd-144hz-8gb-1tb--128gb-ssd-windows-10-phantom-black
Pc Factory,"2en1 Yoga C940 14"" FHD Intel i5-1035G4 12GB 1TB SSD Intel Iris Windows 10 Touch",Lenovo,"Intel® Core™ i5-1035G4, 1,10GHz hasta 3,70GHz (4M Cache)",12.0,Intel® Iris® Plus,14.0,1000.0,Windows 10 Home,1237090,1199990,https://www.pcfactory.cl//producto/34827-lenovo-notebook-2en1-yoga-c940-14-fhd-intel-i5-1035g4-12gb-1tb-ssd-intel-iris-windows-10-touch
Pc Factory,"Gamer Omen Intel i5-10300H NVIDIA RTX 2060 6GB 15.6"" FHD 8GB +32GB Optane 512GB SSD Windows 10 Shadow Black 15-ek0010la",HP,"Intel® Core™ i5-10300H, 2,5GHz hasta 4,5GHz (8MB caché L3)",8.0,NVIDIA® GeForce RTX™ 2060 6GB (GDDR6 dedicada),15.6,512.0,Windows 10 Home 64bit,1299990,1260990,https://www.pcfactory.cl//producto/37293-hp-notebook-gamer-omen-intel-i5-10300h-nvidia-rtx-2060-6gb-15-6-fhd-8gb-32gb-optane-512gb-ssd-windows-10-shadow-black-15-ek0010la
Pc Factory,"Gamer Dell G5 Intel i7-10750H NVIDIA GTX 1660 Ti 6GB 15.6"" FHD 16GB 512GB SSD Windows 10 Black",Dell,"Intel® Core™ i7-10750H, 2,60GHz hasta 5.0GHz (12MB cache)",16.0,NVIDIA GTX 1660 Ti (6GB GDDR6),15.6,512.0,Windows 10 Home (64 bit),1299990,1260990,https://www.pcfactory.cl//producto/37564-dell-notebook-gamer-dell-g5-intel-i7-10750h-nvidia-gtx-1660-ti-6gb-15-6-fhd-16gb-512gb-ssd-windows-10-black
Pc Factory,"ExpertBook B5 Intel i5-8265U 8GB 512GB SSD 14"" FHD Windows 10 Pro Gris B5440FA-BM0897R",Asus,"Intel® Core™ i5-8265U, 1.6GHz hasta 3.9GHz (6M Caché)",8.0,Intel® UHD Graphics 620,14.0,512.0,Windows 10 Pro(64bit),1399990,1329990,https://www.pcfactory.cl//producto/37052-asus-notebook-expertbook-b5-intel-i5-8265u-8gb-512gb-ssd-14-fhd-windows-10-pro-gris-b5440fa-bm0897r
Pc Factory,"Gamer ROG Strix G15 Intel i7-10750H RTX 2060 6GB 15.6"" FHD 8GB 1TB SSD  Windows 10 WiFi 6 Original Black G512LV-HN105T",Asus,"Intel® Core™ i7-10750H,  2.6GHz hasta 5.0GHz (12M Caché)",8.0,NVIDIA® GeForce RTX™ 2060 (6GB GDDR6),15.6,1000.0,Windows 10 Home,1499990,1454990,https://www.pcfactory.cl//producto/37201-asus-notebook-gamer-rog-strix-g15-intel-i7-10750h-rtx-2060-6gb-15-6-fhd-8gb-1tb-ssd-windows-10-wifi-6-original-black-g512lv-hn105t
Pc Factory,"Nuevo MacBook Air 13"" Intel Core i5 1,1 GHz 512GB SSD Gold MVH52CI/A",Apple,"Intel® Core™ i5 1,1 GHz hasta 3,5 GHz con Turbo Boost (6 MB de caché de nivel 3)",8.0,Gráfica: Intel Iris Plus Graphics,13.3,512.0,macOS Catalina,1499990,1454990,https://www.pcfactory.cl//producto/37305-apple-nuevo-macbook-air-13-intel-core-i5-1-1-ghz-512gb-ssd-gold-mvh52ci-a
Pc Factory,"Nuevo MacBook Air 13"" Intel Core i5 1.1GHz  512GB SSD Space Gray MVH22CI/A",Apple,"Intel® Core™ i5 de décima generación y cuatro nucleos a 1,1 GHz Turbo Boost hasta 3,5 GHz 6 MB de caché L3",8.0,Gráfica: Intel Iris Plus Graphics,13.3,512.0,macOS Catalina,1499990,1454990,https://www.pcfactory.cl//producto/37340-apple-nuevo-macbook-air-13-intel-core-i5-1-1ghz-512gb-ssd-space-gray-mvh22ci-a
