compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebook AMD Ryzen 7 8GB RAM 512GB SSD 15.6"" ",Hp,amd ryzen r7,8.0,gráficas amd radeon rx vega 10,15.6,512.0,windows 10 home,759990.0,709990.0,https://www.falabella.com/falabella-cl/product/14624666/Notebook-AMD-Ryzen-7-8GB-RAM-512GB-SSD-15.6-/14624666
Falabella,"Notebook Gamer ROG Zephyrus Duo GX550  Intel Core i9-10980HK 32GB RAM 2TB SSD NVIDIA GeForce RTX 2080 15.6"" ",Asus,intel core i9,32.0,nvidia geforce rtx 2080,15.6,2000.0,windows 10,4049990.0,3999990.0,https://www.falabella.com/falabella-cl/product/11478492/Notebook-Gamer-ROG-Zephyrus-Duo-GX550-Intel-Core-i9-10980HK-32GB-RAM-2TB-SSD-NVIDIA-GeForce-RTX-2080-15.6-/11478492
Falabella,"Notebook Matebook 13 AMD Ryzen 5 8GB RAM 512GB SSD 13.3"" ",Huawei,amd ryzen r5,512.0,radeon? vega 8 graphics,13.0,512.0,windows 10 home,849990.0,799990.0,https://www.falabella.com/falabella-cl/product/12365142/Notebook-Matebook-13-AMD-Ryzen-5-8GB-RAM-512GB-SSD-13.3-/12365142
Falabella,"Notebook ZenBook UX434 Intel Core i5 16GB RAM 512G SSD NVIDIA GeForce MX250 14"" ",Asus,intel core i5,16.0,uhd graphics,14.0,512.0,windows 10 home,1149990.0,1049990.0,https://www.falabella.com/falabella-cl/product/8475029/Notebook-ZenBook-UX434-Intel-Core-i5-16GB-RAM-512G-SSD-NVIDIA-GeForce-MX250-14-/8475029
Falabella,"Macbook Air 13"" Intel Core i5 8GB RAM 512GB SSD Gold ",Apple,intel core i5,8.0,intel iris plus graphics,13.3,512.0,macos,1499990.0,1449990.0,https://www.falabella.com/falabella-cl/product/9062149/Macbook-Air-13-Intel-Core-i5-8GB-RAM-512GB-SSD-Gold/9062149
Falabella,Notebook Hp 240 G7 N4020 4Gb 500Gb Win10H ,Hp,intel celeron,4.0,na,14.0,512.0,windows 10 home,399990.0,349990.0,https://www.falabella.com/falabella-cl/product/14630164/Notebook-Hp-240-G7-N4020-4Gb-500Gb-Win10H/14630164
Falabella,"Notebook Gamer Legion Y540 Core I5 8GB RAM-1TB SSD NVIDIA GeForce GTX 1650 15,6"" ",Lenovo,intel core i5,8.0,nvidia geforce gtx 1650,15.6,1000.0,windows 10 home,1049990.0,999990.0,"https://www.falabella.com/falabella-cl/product/7369686/Notebook-Gamer-Legion-Y540-Core-I5-8GB-RAM-1TB-SSD-NVIDIA-GeForce-GTX-1650-15,6-/7369686"
Falabella,"Notebook VivoBook S433 Intel Core i7-10510U 8GB RAM + 32GB Intel Optane 512Gb SSD 14"" + Microsoft 365 Personal ",Asus,intel core i7,8.0,uhd graphics,14.0,512.0,windows 10 home,949990.0,849990.0,https://www.falabella.com/falabella-cl/product/8474909/Notebook-VivoBook-S433-Intel-Core-i7-10510U-8GB-RAM-+-32GB-Intel-Optane-512Gb-SSD-14-+-Microsoft-365-Personal/8474909
Falabella,Notebook Vivobook F512Ja I3 128Gb Ssd 8Gb 15.6 ,Asus,intel core i3,8.0,intel uhd graphics g1,15.6,128.0,windows 10 home,629990.0,579990.0,https://www.falabella.com/falabella-cl/product/14592465/Notebook-Vivobook-F512Ja-I3-128Gb-Ssd-8Gb-15.6/14592465
Falabella,"Notebook VivoBook X413FA Intel Core I5 8GB RAM 256GB SSD 14"" ",Asus,intel core i5,8.0,intel hd graphics 520,14.0,256.0,windows 10 home,699990.0,669990.0,https://www.falabella.com/falabella-cl/product/14443444/Notebook-VivoBook-X413FA-Intel-Core-I5-8GB-RAM-256GB-SSD-14-/14443444
Falabella,Notebook AMD Ryzen 5 8GB RAM 256GB SSD 13 Pulgadas ,Huawei,amd ryzen r5,8.0,radeon vega 8 graphics,13.0,256.0,windows 10,749990.0,699990.0,https://www.falabella.com/falabella-cl/product/14482290/Notebook-AMD-Ryzen-5-8GB-RAM-256GB-SSD-13-Pulgadas/14482290
Falabella,Lenovo IdeaPad 1 14IGL05 ,Lenovo,intel pentium,4.0,gráficos uhd intel® 605,14.0,128.0,windows 10 home,455990.0,405990.0,https://www.falabella.com/falabella-cl/product/13911223/Lenovo-IdeaPad-1-14IGL05/13911223
Falabella,"MacBook Pro 16"" Intel Core i9 16 GB RAM-1TB SSD Silver ",Apple,intel core i9,16.0,amd radeon pro 5500m,16.0,1000.0,macos,2699990.0,2649990.0,https://www.falabella.com/falabella-cl/product/8300461/MacBook-Pro-16-Intel-Core-i9-16-GB-RAM-1TB-SSD-Silver/8300461
Falabella,"Notebook Gamer ROG Zephyrus G14 GA401 AMD Ryzen 7 16GB RAM 1TB SSD NVIDIA GeForce GTX 1650 Ti con ROG Boost 14"" ",Asus,amd ryzen r7,16.0,nvidia geforce gtx 1650ti,14.0,1000.0,windows 10 home,1449990.0,1399990.0,https://www.falabella.com/falabella-cl/product/10339974/Notebook-Gamer-ROG-Zephyrus-G14-GA401-AMD-Ryzen-7-16GB-RAM-1TB-SSD-NVIDIA-GeForce-GTX-1650-Ti-con-ROG-Boost-14-/10339974
Falabella,Notebook Probook x360  4GBRam  11 Reacondicionado ,Hp,intel celeron,4.0,intel hd graphis 500,11.0,64.0,windows 10 home,399990.0,349990.0,https://www.falabella.com/falabella-cl/product/14679728/Notebook-Probook-x360-4GBRam-11-Reacondicionado/14679728
Falabella,"Notebook Ideapad Gaming 3i Intel Core i7-10750H 8GB RAM 1TB HDD + 128GB SSD Nvidia Geforce GTX1650 15"" 120HZ WiFi6 ",Lenovo,intel core i7,8.0,nvidia geforce gtx 1650,15.6,128.0,windows 10,1049990.0,999990.0,https://www.falabella.com/falabella-cl/product/11235582/Notebook-Ideapad-Gaming-3i-Intel-Core-i7-10750H-8GB-RAM-1TB-HDD-+-128GB-SSD-Nvidia-Geforce-GTX1650-15-120HZ-WiFi6/11235582
Falabella,Notebook Hp 240 G7 I3-1005G1/ 4Gb/ 1Tb/ W10H/ 14 ,Hp,intel core i3,4.0,n/a,14.0,512.0,windows 10 home,599990.0,449990.0,https://www.falabella.com/falabella-cl/product/14592336/Notebook-Hp-240-G7-I3-1005G1-4Gb-1Tb-W10H-14/14592336
Falabella,"Notebook Gamer 15-DK0014LA Intel Core i5-9300H 4GB RAM + 16GB Intel Optane 256GB SSD NVIDIA GeForce GTX 1050 15.6"" ",Hp,intel core i5,4.0,nvidia geforce gtx 1050,15.6,256.0,windows 10 home,869990.0,819990.0,https://www.falabella.com/falabella-cl/product/8637450/Notebook-Gamer-15-DK0014LA-Intel-Core-i5-9300H-4GB-RAM-+-16GB-Intel-Optane-256GB-SSD-NVIDIA-GeForce-GTX-1050-15.6-/8637450
Falabella,"Notebook Intel Pentium Gold 5405U 4GB RAM 128GB SSD 14"" ",Dell,intel pentium,4.0,gráficos intel® uhd integrados,14.0,128.0,windows 10 home,469990.0,419990.0,https://www.falabella.com/falabella-cl/product/14442714/Notebook-Intel-Pentium-Gold-5405U-4GB-RAM-128GB-SSD-14-/14442714
Falabella,"Notebook 14-cf0024la Intel Pentium 8GB RAM 256GB SSD 14"" ",Hp,intel pentium,8.0,intel uhd 605,14.0,256.0,windows 10 home,489990.0,439990.0,https://www.falabella.com/falabella-cl/product/12000853/Notebook-14-cf0024la-Intel-Pentium-8GB-RAM-256GB-SSD-14-/12000853
Falabella,Ntbk Dell 3593 I3-1005G1/ 4Gb/1Tb/15.6/ Freedos ,Dell,intel core i3,4.0,n/a,15.6,512.0,windows 10 home,499990.0,449990.0,https://www.falabella.com/falabella-cl/product/14592279/Ntbk-Dell-3593-I3-1005G1-4Gb-1Tb-15.6-Freedos/14592279
Falabella,"Notebook VivoBook S433  Intel Core i7-10510U 8GB RAM+ 32GB Intel Optane 512GB SSD 14"" ",Asus,intel core i7,8.0,uhd graphics,14.0,512.0,windows 10 home,999990.0,849990.0,https://www.falabella.com/falabella-cl/product/8475556/Notebook-VivoBook-S433-Intel-Core-i7-10510U-8GB-RAM+-32GB-Intel-Optane-512GB-SSD-14-/8475556
Falabella,Notebook Predator 300 I7 16Gb Ram 512Gb Ssd 15.6 ,Acer,intel core i7,16.0,nvidia geforce rtx 2060 6,15.6,512.0,windows 10 home,2199000.0,1799000.0,https://www.falabella.com/falabella-cl/product/14561360/Notebook-Predator-300-I7-16Gb-Ram-512Gb-Ssd-15.6/14561360
