compania,titulo,marca,procesador,ram,tarjeta_grafica,pantalla,almacenamiento,sistema_operativo,precio_normal,precio_oferta,urls
Falabella,"Notebook VivoBook X413FA Intel Core I5 8GB RAM 256GB SSD 14"" ",Asus,Intel Core i5,8GB,Intel HD Graphics 520,14 pulgadas,256Gb,Windows 10 Home,$  699.990 ,$  669.990 (Oferta),https://www.falabella.com/falabella-cl/product/14443444/Notebook-VivoBook-X413FA-Intel-Core-I5-8GB-RAM-256GB-SSD-14-/14443444
Falabella,Notebook AMD Ryzen 5 8GB RAM 256GB SSD 13 Pulgadas ,Huawei,AMD Ryzen R5,8GB,Radeon Vega 8 Graphics,13 pulgadas,256Gb,Windows 10,,$  699.990 ,https://www.falabella.com/falabella-cl/product/14482290/Notebook-AMD-Ryzen-5-8GB-RAM-256GB-SSD-13-Pulgadas/14482290
Falabella,Lenovo IdeaPad 1 14IGL05 ,Lenovo,Intel Pentium,4GB,Gráficos UHD Intel® 605,14 pulgadas,128Gb,Windows 10 Home,,$  405.990 ,https://www.falabella.com/falabella-cl/product/13911223/Lenovo-IdeaPad-1-14IGL05/13911223
Falabella,"MacBook Pro 16"" Intel Core i9 16 GB RAM-1TB SSD Silver ",Apple,Intel Core i9,16GB,AMD Radeon Pro 5500M,16 pulgadas,1Tb,macOS,$  2.699.990 (Oferta),$  2.649.990 ,https://www.falabella.com/falabella-cl/product/8300461/MacBook-Pro-16-Intel-Core-i9-16-GB-RAM-1TB-SSD-Silver/8300461
Falabella,"Notebook Gamer ROG Zephyrus G14 GA401 AMD Ryzen 7 16GB RAM 1TB SSD NVIDIA GeForce GTX 1650 Ti con ROG Boost 14"" ",Asus,AMD Ryzen R7,16GB,NVIDIA GeForce GTX 1650Ti,14 pulgadas,1Tb,Windows 10 Home,,$  1.399.990 ,https://www.falabella.com/falabella-cl/product/10339974/Notebook-Gamer-ROG-Zephyrus-G14-GA401-AMD-Ryzen-7-16GB-RAM-1TB-SSD-NVIDIA-GeForce-GTX-1650-Ti-con-ROG-Boost-14-/10339974
Falabella,Notebook Probook x360  4GBRam  11 Reacondicionado ,Hp,Intel Celeron,4GB,Intel HD Graphis 500,11 pulgadas,64Gb,,,$  349.990 ,https://www.falabella.com/falabella-cl/product/14679728/Notebook-Probook-x360-4GBRam-11-Reacondicionado/14679728
Falabella,"Notebook Ideapad Gaming 3i Intel Core i7-10750H 8GB RAM 1TB HDD + 128GB SSD Nvidia Geforce GTX1650 15"" 120HZ WiFi6 ",Lenovo,Intel Core i7,8GB,NVIDIA GeForce GTX 1650,15.6 pulgadas,128Gb,Windows 10,,$  999.990 ,https://www.falabella.com/falabella-cl/product/11235582/Notebook-Ideapad-Gaming-3i-Intel-Core-i7-10750H-8GB-RAM-1TB-HDD-+-128GB-SSD-Nvidia-Geforce-GTX1650-15-120HZ-WiFi6/11235582
Falabella,Notebook Hp 240 G7 I3-1005G1/ 4Gb/ 1Tb/ W10H/ 14 ,Hp,Intel Core i3,4GB,N/A,14 pulgadas,No Aplica,,$  599.990 ,$  449.990 (Oferta),https://www.falabella.com/falabella-cl/product/14592336/Notebook-Hp-240-G7-I3-1005G1-4Gb-1Tb-W10H-14/14592336
Falabella,"Notebook Gamer 15-DK0014LA Intel Core i5-9300H 4GB RAM + 16GB Intel Optane 256GB SSD NVIDIA GeForce GTX 1050 15.6"" ",Hp,Intel Core i5,4GB,NVIDIA GeForce GTX 1050,15.6 pulgadas,256Gb,Windows 10 Home,,$  819.990 ,https://www.falabella.com/falabella-cl/product/8637450/Notebook-Gamer-15-DK0014LA-Intel-Core-i5-9300H-4GB-RAM-+-16GB-Intel-Optane-256GB-SSD-NVIDIA-GeForce-GTX-1050-15.6-/8637450
Falabella,"Notebook Intel Pentium Gold 5405U 4GB RAM 128GB SSD 14"" ",Dell,Intel Pentium,4GB,Gráficos Intel® UHD Integrados,14 pulgadas,128Gb,Windows 10 Home,,$  419.990 ,https://www.falabella.com/falabella-cl/product/14442714/Notebook-Intel-Pentium-Gold-5405U-4GB-RAM-128GB-SSD-14-/14442714
